实体名称,类型,经度,纬度,出现次数,有坐标变体
七台河,city,131.0031,45.771,38,是
七台河市,city,131.0031,45.771,6,否
万里长城,landmark,116.5704,40.4319,1,否
三明,city,117.6389,26.2634,47,是
三明市,city,117.6389,26.2634,15,是
三河,city,117.0783,39.9817,15,是
三河市,city,117.0783,39.9817,6,否
三清山,mountain,117.9667,28.9,17,是
三门峡,city,111.1941,34.7733,36,是
三门峡市,city,111.2,34.77,7,是
上海,city,121.4737,31.2304,1,否
上海外滩,landmark,121.49,31.24,2,是
上海市,province|city,121.4737,31.2304,160,是
东台,city,120.32,32.8517,37,是
东台市,city,120.32,32.8517,15,是
东方明珠,landmark,121.4997,31.2397,16,是
东港,city,124.15,39.86,40,是
东港市,city,124.1522,39.8617,13,是
东莞,city,113.7518,23.0205,52,是
东莞市,city,113.7518,23.0205,12,否
东营,city,118.6752,37.4347,42,是
东营市,city,118.6752,37.4347,7,否
中原城市群,region,113.6253,34.7466,18,否
中国,region,104.1954,35.8617,2,是
中国领土,region,104.0,35.0,1,否
中山陵,landmark,118.8439,32.0697,1,否
临江,city,126.92,41.81,42,是
临江市,city,126.9181,41.8111,20,是
临汾,city,111.5186,36.0842,48,是
临汾市,city,111.5186,36.0842,12,否
临沂,city,118.3561,35.1041,45,否
临沂市,city,118.3561,35.1041,5,否
临沧,city,100.0927,23.8864,43,否
临沧市,city,100.0927,23.8864,20,是
丹东,city,124.3854,40.129,49,是
丹东市,city,124.4,40.1,5,是
丹阳,city,119.6064,32.0103,36,是
丹阳市,city,119.6064,32.0103,10,是
丽水,city,119.9229,28.4689,56,是
丽水市,city,119.9229,28.4689,18,否
丽江,city,100.227,26.8558,41,是
丽江古城,landmark,100.23,26.87,23,是
丽江市,city,100.227,26.856,19,是
乌兰察布,city,113.1327,40.9944,43,否
乌兰察布市,city,113.1327,40.9944,9,否
乌兰浩特,city,122.0639,46.0725,52,否
乌兰浩特市,city,122.0639,46.0725,9,是
乌江,river,106.9,28.5,24,是
乌江流域,river,108.0,29.0,1,否
乌海,city,106.8254,39.6542,41,是
乌海市,city,106.83,39.65,12,是
乌苏里江,river,134.0,46.5,32,是
乌鲁木齐,city,87.6168,43.8256,56,是
乌鲁木齐市,city,87.6168,43.8256,19,是
乌鲁木齐都市圈,region,87.6168,43.8256,11,否
乐山,city,103.7656,29.552,21,是
乐山大佛,landmark,103.7674,29.5436,19,是
乐山市,city,103.7656,29.552,3,否
九华山,mountain,117.8,30.4833,22,否
九寨沟,landmark,103.9147,33.1575,9,否
